172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/userprofile/images/my-prof.gif HTTP/1.1" 200 1018 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/admin/images/down-arrow.gif HTTP/1.1" 200 610 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/admin/images/leftRightSlider-dark.png HTTP/1.1" 200 1421 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/identity-mgt/images/keys.gif HTTP/1.1" 200 969 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/multi-factor/images/multiauth.gif HTTP/1.1" 200 1000 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/identity-provider/images/InfoCard.gif HTTP/1.1" 200 1026 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:18 +0200] "GET /carbon/statistics/images/chart_bar.gif HTTP/1.1" 200 1040 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:19 +0200] "GET /carbon/server-admin/system_status_ajaxprocessor.jsp HTTP/1.1" 200 1227 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:19 +0200] "GET /carbon/admin/images/table-header.gif HTTP/1.1" 200 873 "https://172.20.10.118:9445/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:23 +0200] "GET /services/UserAdmin?wsdl HTTP/1.1" 403 1097 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:23 +0200] "GET /favicon.ico HTTP/1.1" 405 1065 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
