172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/jquery.ui.tabs.min.js HTTP/1.1" 200 3594 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/jquery.ui.core.min.js HTTP/1.1" 200 1996 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/cookies.js HTTP/1.1" 200 1136 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/main.js HTTP/1.1" 200 15361 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/jquery.validate.js HTTP/1.1" 200 10290 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/jquery.cookie.js HTTP/1.1" 200 1529 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/customControls.js HTTP/1.1" 200 1193 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/jquery.ui.widget.min.js HTTP/1.1" 200 1344 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/yui/build/yahoo-dom-event/yahoo-dom-event.js HTTP/1.1" 200 10684 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/WSRequest.js HTTP/1.1" 200 12981 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/yui/build/yahoo/yahoo-min.js HTTP/1.1" 200 2523 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/yui/build/animation/animation-min.js HTTP/1.1" 200 4768 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/dialog/js/dialog.js HTTP/1.1" 200 2127 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/js/template.js HTTP/1.1" 200 3390 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/yui/build/selector/selector-min.js HTTP/1.1" 200 2895 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/up-arrow.gif HTTP/1.1" 200 615 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/forum.gif HTTP/1.1" 200 1977 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/user-guide.gif HTTP/1.1" 200 2228 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/1px.gif HTTP/1.1" 200 43 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/mailing-list.gif HTTP/1.1" 200 2131 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/admin/images/issue-tracker.gif HTTP/1.1" 200 1821 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/styles/images/is-header-bg.png HTTP/1.1" 200 200 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
172.20.100.127 - - [17/Oct/2013:16:02:09 +0200] "GET /carbon/styles/images/is-page-bg.png HTTP/1.1" 200 18543 "https://172.20.10.118:9445/carbon/admin/login.jsp" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
